waveform	Ch0		Gen	
t0	11/14/2016  20:10:35.691653		11/14/2016  20:10:35.691665	
delta t	0.000500		0.000500	

time[0]	Ch0	time[1]	Gen
11/14/2016  20:10:35.798153	2.631992E+0	11/14/2016  20:10:35.798165	1.275327E-3
11/14/2016  20:10:35.798653	2.632318E+0	11/14/2016  20:10:35.798665	1.927059E-3
11/14/2016  20:10:35.799153	2.631992E+0	11/14/2016  20:10:35.799165	9.494608E-4
11/14/2016  20:10:35.799653	2.632643E+0	11/14/2016  20:10:35.799665	1.601193E-3
11/14/2016  20:10:35.800153	2.631992E+0	11/14/2016  20:10:35.800165	1.275327E-3
11/14/2016  20:10:35.800653	2.632643E+0	11/14/2016  20:10:35.800665	1.275327E-3
11/14/2016  20:10:35.801153	2.632318E+0	11/14/2016  20:10:35.801165	1.275327E-3
11/14/2016  20:10:35.801653	2.632318E+0	11/14/2016  20:10:35.801665	2.977288E-4
11/14/2016  20:10:35.802153	2.631992E+0	11/14/2016  20:10:35.802165	9.494608E-4
11/14/2016  20:10:35.802653	2.632318E+0	11/14/2016  20:10:35.802665	1.601193E-3
11/14/2016  20:10:35.803153	2.631992E+0	11/14/2016  20:10:35.803165	9.494608E-4
11/14/2016  20:10:35.803653	2.632643E+0	11/14/2016  20:10:35.803665	-2.813726E-5
11/14/2016  20:10:35.804153	2.632643E+0	11/14/2016  20:10:35.804165	6.235948E-4
11/14/2016  20:10:35.804653	2.632318E+0	11/14/2016  20:10:35.804665	1.601193E-3
11/14/2016  20:10:35.805153	2.632643E+0	11/14/2016  20:10:35.805165	2.977288E-4
11/14/2016  20:10:35.805653	2.632643E+0	11/14/2016  20:10:35.805665	9.494608E-4
11/14/2016  20:10:35.806153	2.632643E+0	11/14/2016  20:10:35.806165	6.235948E-4
11/14/2016  20:10:35.806653	2.632643E+0	11/14/2016  20:10:35.806665	2.977288E-4
11/14/2016  20:10:35.807153	2.632969E+0	11/14/2016  20:10:35.807165	9.494608E-4
11/14/2016  20:10:35.807653	2.631992E+0	11/14/2016  20:10:35.807665	1.275327E-3
11/14/2016  20:10:35.808153	2.632969E+0	11/14/2016  20:10:35.808165	9.494608E-4
11/14/2016  20:10:35.808653	2.632969E+0	11/14/2016  20:10:35.808665	6.235948E-4
11/14/2016  20:10:35.809153	2.632318E+0	11/14/2016  20:10:35.809165	9.494608E-4
11/14/2016  20:10:35.809653	2.632643E+0	11/14/2016  20:10:35.809665	9.494608E-4
11/14/2016  20:10:35.810153	2.632969E+0	11/14/2016  20:10:35.810165	9.494608E-4
11/14/2016  20:10:35.810653	2.631666E+0	11/14/2016  20:10:35.810665	6.235948E-4
11/14/2016  20:10:35.811153	2.632969E+0	11/14/2016  20:10:35.811165	2.977288E-4
11/14/2016  20:10:35.811653	2.633621E+0	11/14/2016  20:10:35.811665	9.494608E-4
11/14/2016  20:10:35.812153	2.633295E+0	11/14/2016  20:10:35.812165	9.494608E-4
11/14/2016  20:10:35.812653	2.632643E+0	11/14/2016  20:10:35.812665	9.494608E-4
11/14/2016  20:10:35.813153	2.632643E+0	11/14/2016  20:10:35.813165	-2.813726E-5
11/14/2016  20:10:35.813653	2.632969E+0	11/14/2016  20:10:35.813665	9.494608E-4
11/14/2016  20:10:35.814153	2.633295E+0	11/14/2016  20:10:35.814165	1.275327E-3
